,Nimero,                Descripcin, Cidigo,Existencia,unidad, Ultima modificaciin
287,03 15 007 0001, Extender PoliPrint Laminacion,  EXTPPLAM,0.0,kg,    CLEON    19/01/18 10:34
288,03 15 008 0001, Primer,  PRIMER,130.0,kg,    ANA      17/10/02 10:32
289,03 15 012 0001, Laca,  LACA,75.25,kg,    ANA      17/10/02 10:32
290,03 18 001 0001, Alcohol Isopropilico,  IPA,480.0,kg,    ANA      17/10/02 10:33
291,03 18 001 0010, Solvente para tintas,  SOLTIN,0.0, lts,    PACO     25/07/05 14:06
292,03 18 004 0001, Alcohol Etilico,  ETANOL,0.0,kg,    ANA      17/10/02 10:33
293,03 18 007 0001, Alcohol Propil Normal,  PROPANOL,0.0,kg,    ANA      17/10/02 10:33
294,03 18 010 0001, Metanol,  METANOL,0.0,kg,    ANA      17/10/02 10:33
295,03 18 020 0001, Butanol,  BUTANOL,0.0,kg,    ANA      17/10/02 10:33
296,03 18 022 0001, DOP,  DOP,0.0,kg,    PACO     07/08/03 16:04
297,03 18 100 0001, Acetato de Etilo,  ACETATO,76.5,kg,    ANA      17/10/02 10:33
298,03 18 103 0001, Acetato Propil Normal,  ACEPROP,1102.05,kg,    ANA      17/10/02 10:33
299,03 18 200 0001, Percloroetileno,  PERCLORO,0.0,kg,    ANA      17/10/02 10:33
300,03 18 220 0001, Solvente lavado clisis,  SOLCLIS,0.0,kg,    ANA      17/10/02 10:33
301,03 18 220 0005, Aditivo A,  ADITA,0.0,kg,    ANA      17/10/02 10:33
302,03 18 220 0010, Aditivo B,  ADITB,0.0,kg,    ANA      17/10/02 10:33
303,03 18 220 0015, Aditivo C,  ADITC,0.0,kg,    ANA      17/10/02 10:33
304,03 18 220 0050, Recyl Clean,  RECLEAN,0.0,kg,    BPAREDES 23/06/15  9:36
305,03 18 220 0054, Dowanol,  DOWAN,150.2,kg,    SMARCA   20/12/13  9:56
306,03 22 001 0001, Adhesivo Poliuretano,  ADHPOLI,4687.91,kg,    ANA      17/10/02 10:34
307,03 22 001 0003, Adhesivo Reticulante sin Solvente,  ADHRETI,3609.51,kg,    ANA      17/10/02 10:34
308,03 22 001 0004, Adhesivo Correactant C-83,  ADHCORR,0.0,kg,    BEATRIZ  31/03/04 10:08
309,03 50 001 0170," Fotopolimero de 1,70 mm",  FP170,166474.6, cm2,    ANA      17/10/02 10:35
310,03 50 001 0254, Fotopolimero de 2.54 mm,  FP254,231457.97, cm2,    ANA      17/10/02 10:35
311,03 50 001 0284, Fotopolmero de 2.84 mm,  FP284,86633.12, cm2,    ANA      17/10/02 10:35
312,03 50 005 0012, Doble Faz .12 mm,  DF12,0.0, roll,o   ANA      17/10/02 10:35
313,03 50 006 0038, Doble Faz .38 mm.,  DF38,0.0, roll,o   PACO     29/04/03 14:49
314,03 50 007 0030, Doble Faz 0.30 m,  DF30,2.0, roll,o   BEATRIZ  19/04/06  9:34
315,03 50 008 0050, Doble Faz Acolchado Baja Densidad .50 mm,  DFBD50,2.0, roll,o   ANA      17/10/02 10:35
316,03 50 011 0050, Doble Faz Acolchado Media Densidad .50 mm,  DFMD50,0.0, roll,o   ANA      17/10/02 10:35
317,03 50 014 0050, Doble Faz Acolchado Alta Densidad .50 mm,  DFAD50,3.0, roll,o   ANA      17/10/02 10:35
318,03 50 100 0001," Cinta Adhesiva Transparente 2""",  CADHT,0.0, roll,o   ANA      17/10/02 10:35
319,03 50 100 0005," Cinta Adhesiva Canela 2""",  CADHC,36.0, roll,o   ANA      17/10/02 10:35
320,03 50 100 0006, Tesa Film Cinta de Embalaje 66Mx12mm (scotch tranp,  CADHTP,4.0, roll,o   ANA      18/11/02  9:14
321,03 50 100 0007, Cinta Adhesiva Tesakrep,  TS4323,3.0,unidad,BEATRIZ  06/08/09  9:18
322,03 50 120 0040, Rollo de pelicula 40 cm x 60 mt.,  PELI40,0.0, cm2,    PACO     18/07/05 14:28
323,03 50 120 0041, Rollo de Pelicula HNM 83.80 x 60,  PELI83.80,499800.0, cm2,    BEATRIZ  12/12/06 11:09
324,03 50 120 0042, Rollo de Pelicula HNM 50.80 x 60,  PELI50.80,304800.0, cm2,    BEATRIZ  12/12/06 11:10
325,03 50 120 0059, Rollo de pelicula 30.5 cm x 60 mt.,  PELI59,354000.0, cm2,    PACO     21/06/05 17:34
326,03 50 128 0005, Revelador para peliculas,  REVELA,0.0, lts,    PACO     21/06/05 17:35
327,03 50 128 0010, Fijador para peliculas,  FIJADOR,21.0, lts,    PACO     21/06/05 17:35
328,03 50 900 0005, Paios Azules,  PAiAZ,189.0,unidad,PACO     20/09/05 12:07
329,03 50 900 0006, Zipper para Bolsas,  ZIPPER,447078.0, mts,    JIGNACIO 28/12/17 15:58
330,03 50 900 0008, Valvula Corner 10 mm,  VALCOR10,49000.0,unidad,CLEON    19/12/16 14:59
331,03 50 900 0009, Valvula Central 8 mm,  VALCEN8,54000.0,unidad,CLEON    19/12/16 15:00
332,03 50 900 0010, Valvula de gas para cafi 20 mm,  VALCAFE20,39469.0,unidad,CLEON    19/12/16 15:00
